stdPYR
[0.00030284 0.00029058 0.00010083]
stdR
[[0.00029032 0.00030556 0.00010866]]
stdP
[[8.51467347e-05 1.46176544e-05 3.42067021e-05]]
meanPYR
[0.04824607 0.03955393 0.4098705 ]
numb. data points
182
Position
 [0.04868851 0.03985913 0.4098229 ]
 [0.04839528 0.0397122  0.40979062]
 [0.04825308 0.03941678 0.40976004]
 [0.04789525 0.03978416 0.40973867]
 [0.04830082 0.03963987 0.40973213]
 [0.04827    0.03997045 0.40977246]
 [0.04819144 0.03960669 0.40978171]
 [0.04893933 0.03969494 0.40974326]
 [0.04828574 0.0396469  0.40981986]
 [0.04834626 0.03953073 0.40978629]
 [0.0482794  0.04008783 0.40971967]
 [0.04832431 0.03964284 0.40981285]
 [0.04876732 0.03960674 0.40976199]
 [0.04797939 0.03957033 0.40973902]
 [0.04833115 0.03981447 0.40975471]
 [0.04814962 0.03991959 0.40976909]
 [0.04817528 0.0394872  0.40971611]
 [0.04826745 0.0396305  0.40972911]]
