stdPYR
[0.00032615 0.00038471 0.00012021]
stdR
[[0.00060931 0.00048844 0.00018548]]
stdP
[[1.71951398e-04 6.25611827e-05 7.97441992e-05]]
meanPYR
[-0.60907313 -0.05860578 -3.13679976]
numb. data points
204
Position
 [-0.60925208 -0.05831956 -3.13688598]
 [-0.6095711  -0.05871326 -3.13691918]
 [-0.60851853 -0.05876542 -3.13682575]
 [-0.60954019 -0.05893103 -3.13664988]
 [-0.60911655 -0.05898735 -3.13666877]
 [-0.60883031 -0.05889268 -3.13671808]
 [-0.60903915 -0.05879717 -3.13680267]
 [-0.60930402 -0.05888657 -3.13677906]
 [-0.6097652  -0.05882607 -3.1366009 ]
 [-0.60901016 -0.05877176 -3.13677666]
 [-0.60910771 -0.0590166  -3.13673936]
 [-0.6094182  -0.05875924 -3.13679304]
 [-0.6092825  -0.05868608 -3.13671684]
 [-0.60918335 -0.0590552  -3.1365994 ]
 [-0.60872548 -0.05859374 -3.13683063]
 [-0.60893645 -0.05883168 -3.13669376]
 [-0.6093209  -0.05827511 -3.13690028]
 [-0.60915006 -0.05881965 -3.13662809]
 [-0.60890054 -0.05893127 -3.13673886]
 [-0.60914426 -0.05896336 -3.13665426]
 [-0.60893243 -0.05889702 -3.13660909]
 [-0.60963048 -0.0582951  -3.1368559 ]
 [-0.60919562 -0.05876115 -3.13681596]
 [-0.60861753 -0.0584489  -3.13686985]
 [-0.60924515 -0.05855236 -3.13675698]
 [-0.60877414 -0.05863728 -3.13680406]
 [-0.60840371 -0.05906697 -3.13674146]
 [-0.60884001 -0.058876   -3.13661305]
 [-0.60890392 -0.05853097 -3.13677052]
 [-0.60899372 -0.05875553 -3.13668436]
 [-0.60882901 -0.05870978 -3.13677886]
 [-0.60909742 -0.05868637 -3.1366267 ]
 [-0.60888599 -0.05915304 -3.13660293]
 [-0.60893626 -0.05854189 -3.13675581]
 [-0.60875738 -0.05896572 -3.1366106 ]
 [-0.60826588 -0.05827543 -3.1368584 ]
 [-0.60925281 -0.05866671 -3.13678156]
 [-0.60938161 -0.05810379 -3.13676343]
 [-0.60917127 -0.05896518 -3.13676618]
 [-0.60882605 -0.05828679 -3.13683034]
 [-0.60893731 -0.05866183 -3.13671085]
 [-0.60872708 -0.0588601  -3.13688252]
 [-0.60860948 -0.05874354 -3.13675216]
 [-0.60878367 -0.05878027 -3.13662098]
 [-0.60907979 -0.05863413 -3.13668264]
 [-0.60909855 -0.05886516 -3.13669394]
 [-0.60905034 -0.05890049 -3.13668511]
 [-0.60889207 -0.05872249 -3.13674997]
 [-0.60921513 -0.0584675  -3.1367835 ]
 [-0.60857018 -0.05879864 -3.13670104]
 [-0.60889655 -0.05863903 -3.13673984]
 [-0.60927202 -0.05851914 -3.13668761]
 [-0.60923987 -0.05791748 -3.13688547]
 [-0.60906902 -0.05808553 -3.13689422]
 [-0.60882623 -0.05785785 -3.13692326]
 [-0.60895885 -0.05847177 -3.13680406]
 [-0.60869333 -0.0584645  -3.13686593]
 [-0.60901501 -0.0584309  -3.13691789]
 [-0.60894476 -0.05871385 -3.13668918]
 [-0.6092217  -0.05835703 -3.13696402]
 [-0.60825311 -0.05926706 -3.13648672]
 [-0.60988767 -0.05811702 -3.13694439]
 [-0.60903805 -0.05804745 -3.13684576]
 [-0.60922798 -0.05836531 -3.13670762]
 [-0.60956697 -0.05819859 -3.1368257 ]
 [-0.60943203 -0.05882267 -3.1366749 ]
 [-0.60875058 -0.0584727  -3.13682249]
 [-0.60954361 -0.05822826 -3.13680244]
 [-0.6090637  -0.05838955 -3.13681485]
 [-0.60890582 -0.05804296 -3.13689449]
 [-0.60880647 -0.05850356 -3.13698785]
 [-0.60862532 -0.05887413 -3.13678492]
 [-0.60927716 -0.05864261 -3.13666023]
 [-0.60878507 -0.05875253 -3.13679655]
 [-0.60918985 -0.05820348 -3.13677711]
 [-0.60899119 -0.05841753 -3.13662199]
 [-0.60865868 -0.05811299 -3.13693661]
 [-0.6090552  -0.05856865 -3.13694142]
 [-0.60965364 -0.05861306 -3.13669009]
 [-0.60847225 -0.05824413 -3.13680153]
 [-0.6093845  -0.05902529 -3.13669008]
 [-0.60863506 -0.05794939 -3.1367606 ]
 [-0.60870802 -0.05872074 -3.13677034]
 [-0.60902735 -0.05821152 -3.13688755]
 [-0.60886761 -0.05775155 -3.13710693]
 [-0.60886273 -0.05850544 -3.13668432]
